0.500000	1.1413151443e+00	8.4901252102e-04
0.533000	9.9742697541e-01	6.6895118728e-04
0.566000	9.1184821795e-01	4.8444339344e-04
0.599000	8.3253713775e-01	3.6156887816e-04
0.632000	7.6363799214e-01	2.7420761695e-04
0.665000	7.1373678876e-01	2.1484896981e-04
0.698000	6.6325494879e-01	1.6218028687e-04
0.731000	6.2804779328e-01	1.1677780529e-04
0.764000	5.9592224199e-01	7.8837758073e-05
0.797000	5.7048195896e-01	5.6669053708e-05
0.830000	5.5001861226e-01	3.6540032713e-05
0.863000	5.3231433182e-01	2.3043007569e-05
0.896000	5.1916584351e-01	1.2942149090e-05
0.929000	5.1009996299e-01	5.6113408074e-06
0.962000	5.0399712773e-01	1.5090703709e-06
0.995000	5.0051198662e-01	2.4646042981e-08
1.028000	5.0190698579e-01	9.5120438044e-07
1.061000	5.0680216404e-01	4.9782918264e-06
1.094000	5.1173600870e-01	1.1554306022e-05
1.127000	5.1967011091e-01	2.0418102564e-05
1.160000	5.3043655320e-01	3.1057066553e-05
1.193000	5.4102176339e-01	4.5617877110e-05
1.226000	5.5616199812e-01	5.6902015820e-05
1.259000	5.6649016223e-01	7.8727905331e-05
1.292000	5.8385544926e-01	9.2270687620e-05
1.325000	5.9749228501e-01	1.2039232290e-04
1.358000	6.0912492951e-01	1.4522030957e-04
1.391000	6.3757781558e-01	1.6310488251e-04
